id;age;income;marital_status;children;budget;city;property_type;bought
152;40.0;79469.0;married;3.0;218376.0;Marrakech;duplex;1
153;57.0;114481.0;married;3.0;415438.0;Casablanca;villa;1
154;47.0;74524.0;married;2.0;265820.0;Rabat;villa;0
155;52.0;28799.0;single;0.0;103091.0;Rabat;duplex;0
156;59.0;93608.0;married;0.0;330157.0;Tangier;apartment;1
157;40.0;98696.0;single;0.0;371938.0;Casablanca;duplex;0
158;28.0;65890.0;married;2.0;183649.0;Rabat;apartment;1
159;57.0;101490.0;married;4.0;260386.0;Rabat;villa;0
160;41.0;64541.0;single;0.0;184466.0;Tangier;apartment;1
161;23.0;32026.0;married;1.0;110185.0;Tangier;apartment;0
162;42.0;94395.0;married;0.0;272702.0;Agadir;villa;0
163;50.0;106761.0;married;4.0;384885.0;Rabat;villa;0
164;44.0;76349.0;single;0.0;304085.0;Agadir;duplex;0
165;47.0;98554.0;single;0.0;479298.0;Casablanca;duplex;0
166;29.0;21013.0;married;3.0;61762.0;Tangier;studio;0
167;57.0;107562.0;married;0.0;375679.0;Marrakech;villa;0
168;26.0;61033.0;married;4.0;214290.0;Tangier;apartment;0
169;42.0;42527.0;married;4.0;155233.0;Rabat;apartment;1
170;37.0;77104.0;married;4.0;207920.0;Rabat;duplex;0
171;32.0;30011.0;married;0.0;114837.0;Casablanca;duplex;0
172;63.0;39358.0;single;0.0;117805.0;Agadir;apartment;1
173;26.0;43218.0;divorced;3.0;158172.0;Agadir;duplex;0
174;58.0;104278.0;married;4.0;344953.0;Rabat;villa;0
175;50.0;102756.0;single;0.0;271320.0;Agadir;villa;0
176;24.0;27456.0;single;0.0;112889.0;Marrakech;apartment;0
177;51.0;96064.0;married;0.0;348168.0;Agadir;duplex;0
178;52.0;85715.0;single;0.0;236466.0;Rabat;duplex;0
179;63.0;42617.0;single;0.0;212124.0;Agadir;apartment;0
180;45.0;57079.0;single;0.0;239574.0;Marrakech;duplex;1
181;26.0;63213.0;single;0.0;202936.0;Agadir;duplex;0
182;59.0;106980.0;single;0.0;526260.0;Tangier;villa;1
183;27.0;60577.0;married;2.0;274593.0;Agadir;villa;1
184;54.0;67425.0;single;0.0;328893.0;Rabat;apartment;0
185;36.0;38030.0;single;0.0;170005.0;Agadir;duplex;1
186;55.0;24947.0;married;4.0;70540.0;Tangier;studio;0
187;61.0;41697.0;married;0.0;147071.0;Casablanca;duplex;1
188;50.0;50671.0;married;2.0;248996.0;Tangier;duplex;0
189;65.0;94766.0;divorced;3.0;419206.0;Tangier;villa;0
190;32.0;46174.0;married;1.0;216209.0;Marrakech;apartment;1
191;57.0;33446.0;married;4.0;154785.0;Rabat;apartment;0
192;50.0;87286.0;single;0.0;424736.0;Casablanca;apartment;1
193;23.0;74381.0;single;0.0;229796.0;Marrakech;apartment;0
194;28.0;113677.0;married;1.0;323297.0;Rabat;apartment;0
195;30.0;119462.0;married;3.0;482431.0;Marrakech;villa;0
196;31.0;91932.0;divorced;3.0;255384.0;Rabat;villa;0
197;37.0;75027.0;married;4.0;273307.0;Marrakech;apartment;0
198;56.0;22154.0;married;4.0;68784.0;Casablanca;studio;0
199;44.0;51531.0;married;1.0;214416.0;Marrakech;apartment;0
200;55.0;91313.0;married;4.0;354785.0;Tangier;apartment;0
201;46.0;68929.0;single;0.0;308202.0;Rabat;villa;1
202;28.0;96271.0;married;2.0;272786.0;Rabat;villa;1
203;33.0;109742.0;married;3.0;447674.0;Casablanca;villa;1
204;51.0;24847.0;single;0.0;74508.0;Marrakech;studio;0
205;47.0;91176.0;married;0.0;399645.0;Casablanca;villa;1
206;25.0;105948.0;single;0.0;362347.0;Tangier;duplex;1
207;46.0;64438.0;divorced;3.0;272583.0;Rabat;apartment;0
208;27.0;115300.0;married;3.0;461907.0;Casablanca;villa;0
209;27.0;62981.0;married;2.0;227663.0;Tangier;apartment;0
210;50.0;25551.0;married;2.0;103152.0;Tangier;apartment;1
211;25.0;29835.0;married;3.0;101685.0;Casablanca;duplex;0
212;60.0;108878.0;married;0.0;306554.0;Casablanca;duplex;0
213;46.0;94349.0;single;0.0;341996.0;Rabat;villa;1
214;58.0;38047.0;married;3.0;125021.0;Rabat;apartment;0
215;33.0;85410.0;married;4.0;238669.0;Rabat;duplex;0
216;61.0;57431.0;married;3.0;172318.0;Casablanca;duplex;0
217;50.0;31506.0;married;2.0;131367.0;Marrakech;apartment;0
218;41.0;40644.0;married;1.0;182257.0;Agadir;apartment;1
219;30.0;51029.0;married;0.0;173612.0;Agadir;apartment;1
220;57.0;37009.0;married;0.0;98605.0;Tangier;apartment;1
221;55.0;73843.0;married;4.0;198222.0;Rabat;apartment;0
222;65.0;87811.0;single;1.0;390816.0;Agadir;villa;1
223;49.0;85911.0;divorced;0.0;393341.0;Agadir;villa;0
224;42.0;112973.0;single;1.0;428986.0;Rabat;apartment;0
225;62.0;92199.0;single;0.0;372121.0;Marrakech;villa;0
226;59.0;40210.0;single;0.0;191198.0;Rabat;duplex;0
227;23.0;30646.0;single;0.0;120804.0;Casablanca;duplex;0
228;62.0;23969.0;married;4.0;77280.0;Rabat;studio;1
229;65.0;73227.0;single;0.0;194035.0;Tangier;apartment;0
230;43.0;99516.0;single;1.0;328232.0;Rabat;apartment;0
231;45.0;87499.0;married;2.0;271627.0;Marrakech;villa;0
232;28.0;26632.0;single;0.0;107551.0;Casablanca;duplex;1
233;42.0;95718.0;married;1.0;421906.0;Tangier;apartment;0
234;41.0;85191.0;single;1.0;320625.0;Casablanca;villa;0
235;25.0;56877.0;married;3.0;182823.0;Marrakech;duplex;0
236;38.0;115355.0;single;0.0;301434.0;Marrakech;villa;0
237;57.0;57827.0;single;0.0;255075.0;Rabat;apartment;1
238;61.0;35572.0;single;0.0;122118.0;Rabat;apartment;0
239;31.0;46090.0;married;3.0;172846.0;Marrakech;apartment;1
240;52.0;88069.0;married;4.0;416815.0;Casablanca;villa;1
241;32.0;71505.0;divorced;2.0;284898.0;Agadir;apartment;0
242;58.0;59294.0;married;0.0;202838.0;Marrakech;duplex;0
243;62.0;23492.0;married;2.0;115526.0;Agadir;apartment;1
244;59.0;82973.0;single;0.0;335985.0;Tangier;villa;1
245;24.0;95047.0;divorced;0.0;282951.0;Tangier;villa;0
246;35.0;73788.0;married;4.0;354278.0;Marrakech;duplex;0
247;57.0;62604.0;divorced;3.0;238752.0;Rabat;duplex;0
248;56.0;64869.0;married;2.0;261110.0;Casablanca;apartment;0
249;41.0;49473.0;divorced;2.0;219063.0;Casablanca;apartment;0
250;52.0;65718.0;married;2.0;211577.0;Agadir;apartment;0
251;47.0;65237.0;divorced;1.0;210463.0;Rabat;duplex;0
252;50.0;105979.0;single;0.0;318484.0;Agadir;villa;0
253;39.0;37992.0;single;0.0;117707.0;Marrakech;apartment;0
254;62.0;50518.0;single;0.0;216893.0;Marrakech;apartment;0
255;57.0;40701.0;married;3.0;150334.0;Casablanca;duplex;0
256;40.0;104659.0;single;0.0;432319.0;Casablanca;villa;1
257;24.0;42946.0;married;1.0;207635.0;Marrakech;duplex;0
258;53.0;44420.0;divorced;2.0;208412.0;Marrakech;apartment;1
259;43.0;57298.0;married;4.0;218351.0;Casablanca;duplex;0
260;34.0;34764.0;single;0.0;143252.0;Casablanca;apartment;0
261;40.0;94420.0;married;1.0;277475.0;Tangier;apartment;0
262;27.0;72538.0;married;1.0;359368.0;Tangier;villa;0
263;38.0;70275.0;single;0.0;343299.0;Rabat;villa;0
264;38.0;105679.0;single;0.0;440624.0;Tangier;villa;0
265;54.0;112216.0;married;0.0;459724.0;Rabat;villa;0
266;30.0;82676.0;single;0.0;331890.0;Tangier;duplex;1
267;56.0;107044.0;married;1.0;449676.0;Agadir;apartment;0
268;50.0;89228.0;married;0.0;427679.0;Marrakech;villa;0
269;54.0;46497.0;married;1.0;135368.0;Agadir;apartment;1
270;59.0;84071.0;single;0.0;380146.0;Tangier;villa;0
271;58.0;27567.0;married;2.0;118764.0;Tangier;apartment;0
272;35.0;95800.0;single;0.0;407242.0;Agadir;apartment;1
273;26.0;81875.0;single;0.0;362086.0;Tangier;villa;1
274;50.0;69479.0;single;0.0;288649.0;Agadir;villa;1
275;29.0;43392.0;divorced;3.0;165848.0;Casablanca;duplex;1
276;41.0;80686.0;married;4.0;287267.0;Tangier;apartment;0
277;44.0;40332.0;single;1.0;173934.0;Marrakech;apartment;1
278;61.0;22050.0;single;0.0;87866.0;Tangier;studio;1
279;25.0;52077.0;married;3.0;187342.0;Agadir;apartment;1
280;25.0;38367.0;married;2.0;118377.0;Agadir;apartment;0
281;65.0;62030.0;single;1.0;307931.0;Agadir;villa;0
282;25.0;92970.0;divorced;1.0;377921.0;Tangier;villa;0
283;44.0;104320.0;married;4.0;343925.0;Tangier;villa;0
284;33.0;118882.0;married;1.0;549633.0;Rabat;apartment;0
285;51.0;27552.0;married;3.0;107265.0;Casablanca;apartment;0
286;43.0;104765.0;single;0.0;359102.0;Agadir;duplex;0
287;39.0;69436.0;married;4.0;180455.0;Marrakech;apartment;1
288;64.0;93249.0;single;0.0;444572.0;Rabat;apartment;0
289;34.0;117186.0;single;1.0;433272.0;Casablanca;duplex;1
290;47.0;51369.0;married;2.0;177308.0;Agadir;apartment;0
291;45.0;87215.0;married;3.0;239537.0;Tangier;duplex;0
292;35.0;68589.0;single;0.0;319639.0;Casablanca;villa;0
293;59.0;95909.0;married;2.0;276316.0;Rabat;villa;0
294;37.0;85444.0;married;2.0;268577.0;Tangier;apartment;1
295;53.0;80401.0;single;0.0;235025.0;Agadir;apartment;1
296;56.0;104123.0;divorced;0.0;478723.0;Marrakech;apartment;1
297;22.0;74053.0;single;0.0;197715.0;Casablanca;apartment;0
298;45.0;27923.0;married;4.0;133524.0;Tangier;apartment;0
299;48.0;21553.0;single;0.0;82749.0;Rabat;studio;1
300;65.0;76436.0;married;1.0;211539.0;Marrakech;apartment;0
301;61.0;89003.0;single;0.0;399386.0;Marrakech;villa;0
302;58.0;51877.0;divorced;1.0;168596.0;Marrakech;apartment;1
303;24.0;32255.0;married;3.0;125205.0;Marrakech;apartment;1
304;27.0;85517.0;married;2.0;334768.0;Marrakech;apartment;1
305;36.0;47710.0;divorced;3.0;151609.0;Marrakech;apartment;0
306;56.0;93860.0;married;1.0;452585.0;Rabat;villa;0
307;31.0;118599.0;married;3.0;571906.0;Rabat;villa;0
308;46.0;108740.0;married;2.0;376198.0;Casablanca;duplex;1
309;27.0;85639.0;married;2.0;225593.0;Tangier;apartment;0
310;60.0;100460.0;divorced;3.0;494494.0;Rabat;villa;0
311;50.0;84304.0;single;0.0;289884.0;Casablanca;duplex;1
312;27.0;101083.0;single;0.0;271283.0;Rabat;villa;1
313;62.0;40221.0;married;2.0;136821.0;Marrakech;apartment;0
314;45.0;119791.0;single;0.0;355597.0;Tangier;villa;0
315;28.0;23442.0;single;0.0;93587.0;Rabat;apartment;0
316;48.0;70829.0;married;4.0;337359.0;Casablanca;villa;0
317;46.0;42216.0;single;0.0;157584.0;Marrakech;apartment;0
318;41.0;83469.0;married;2.0;261195.0;Casablanca;duplex;0
319;61.0;45630.0;married;1.0;148828.0;Tangier;apartment;1
320;43.0;77700.0;single;0.0;361209.0;Agadir;villa;0
321;34.0;82784.0;single;1.0;407447.0;Rabat;duplex;1
322;58.0;51775.0;single;0.0;231158.0;Rabat;apartment;0
323;59.0;91516.0;single;0.0;234948.0;Tangier;duplex;0
324;40.0;110811.0;single;0.0;497277.0;Tangier;villa;0
325;38.0;106332.0;single;0.0;366045.0;Tangier;apartment;0
326;47.0;90040.0;married;3.0;347474.0;Rabat;duplex;1
327;60.0;103647.0;divorced;0.0;458366.0;Rabat;villa;1
328;58.0;104545.0;married;3.0;514050.0;Rabat;apartment;0
329;22.0;32924.0;single;0.0;125012.0;Agadir;apartment;0
330;45.0;71266.0;married;4.0;301176.0;Casablanca;villa;0
331;28.0;58722.0;married;0.0;163844.0;Casablanca;apartment;0
332;35.0;88303.0;married;3.0;242308.0;Tangier;apartment;0
333;29.0;22960.0;married;0.0;96267.0;Casablanca;apartment;1
334;55.0;42865.0;married;2.0;167157.0;Tangier;apartment;0
335;33.0;44430.0;married;3.0;155014.0;Agadir;duplex;0
336;49.0;70965.0;single;0.0;226794.0;Marrakech;apartment;1
337;56.0;44505.0;single;0.0;123941.0;Tangier;apartment;1
338;60.0;70939.0;married;4.0;197606.0;Rabat;duplex;1
339;65.0;112535.0;married;4.0;447373.0;Casablanca;villa;0
340;29.0;43992.0;single;0.0;152703.0;Agadir;apartment;0
341;33.0;83788.0;married;1.0;325707.0;Tangier;villa;0
342;50.0;101187.0;single;0.0;255391.0;Casablanca;villa;0
343;57.0;86248.0;married;3.0;363254.0;Tangier;duplex;0
344;32.0;30835.0;married;1.0;99603.0;Rabat;studio;0
345;51.0;94140.0;married;3.0;364728.0;Marrakech;villa;0
346;56.0;68085.0;married;0.0;299574.0;Tangier;villa;1
347;28.0;116467.0;married;1.0;377850.0;Marrakech;villa;0
348;27.0;77549.0;married;0.0;344246.0;Casablanca;villa;1
349;44.0;113159.0;married;3.0;329853.0;Casablanca;duplex;1
350;25.0;94720.0;single;0.0;364380.0;Rabat;apartment;0
351;58.0;55041.0;divorced;0.0;156259.0;Tangier;duplex;1
352;63.0;36631.0;married;1.0;114442.0;Rabat;duplex;1
353;65.0;71472.0;married;4.0;291677.0;Tangier;villa;0
354;27.0;72802.0;married;2.0;308444.0;Rabat;villa;0
355;59.0;20324.0;married;0.0;87948.0;Tangier;apartment;1
356;26.0;90048.0;single;1.0;410809.0;Tangier;villa;1
357;43.0;91737.0;married;4.0;424839.0;Rabat;apartment;1
358;24.0;33051.0;married;3.0;83972.0;Casablanca;studio;0
359;49.0;46518.0;divorced;1.0;218884.0;Rabat;apartment;1
360;39.0;32234.0;married;2.0;87226.0;Casablanca;studio;1
361;36.0;76260.0;married;0.0;190857.0;Tangier;apartment;0
362;55.0;109126.0;married;0.0;462584.0;Marrakech;apartment;0
363;30.0;82613.0;single;0.0;357458.0;Marrakech;villa;0
364;41.0;37973.0;single;0.0;177950.0;Casablanca;apartment;0
365;61.0;105199.0;single;0.0;319030.0;Casablanca;apartment;1
366;50.0;48474.0;single;0.0;212370.0;Agadir;duplex;0
367;49.0;61222.0;married;1.0;195446.0;Marrakech;apartment;1
368;60.0;57345.0;married;0.0;264918.0;Rabat;villa;1
369;34.0;118021.0;single;0.0;526315.0;Casablanca;villa;0
370;53.0;103634.0;married;4.0;489340.0;Marrakech;apartment;1
371;30.0;70703.0;married;4.0;251148.0;Agadir;duplex;1
372;26.0;22187.0;married;0.0;70010.0;Marrakech;apartment;1
373;47.0;86402.0;single;0.0;381704.0;Tangier;duplex;0
374;56.0;90471.0;married;2.0;245085.0;Marrakech;apartment;0
375;31.0;90305.0;single;0.0;398069.0;Marrakech;villa;0
376;37.0;27589.0;single;1.0;76972.0;Agadir;apartment;0
377;64.0;117079.0;single;0.0;332859.0;Marrakech;villa;1
378;55.0;87793.0;married;2.0;256127.0;Casablanca;duplex;1
379;29.0;23847.0;single;0.0;90848.0;Rabat;apartment;0
380;26.0;85031.0;married;2.0;224362.0;Agadir;apartment;0
381;28.0;95223.0;married;0.0;292430.0;Agadir;villa;1
382;22.0;52053.0;single;0.0;249883.0;Casablanca;duplex;1
383;57.0;113588.0;married;3.0;347725.0;Casablanca;villa;1
384;39.0;30208.0;married;0.0;113434.0;Marrakech;apartment;1
385;24.0;72550.0;single;0.0;232578.0;Rabat;apartment;0
386;22.0;68354.0;single;0.0;222818.0;Agadir;apartment;0
387;53.0;45614.0;married;4.0;200756.0;Casablanca;apartment;1
388;23.0;50539.0;married;0.0;246502.0;Marrakech;duplex;0
389;41.0;33624.0;single;1.0;119349.0;Marrakech;duplex;0
390;39.0;32193.0;single;0.0;148530.0;Tangier;duplex;0
391;27.0;96122.0;single;0.0;437346.0;Marrakech;villa;0
392;64.0;37132.0;single;0.0;122072.0;Tangier;duplex;1
393;42.0;79343.0;single;0.0;238567.0;Agadir;apartment;0
394;50.0;81086.0;single;0.0;275345.0;Casablanca;villa;0
395;29.0;31851.0;single;0.0;145430.0;Agadir;apartment;1
396;42.0;39441.0;single;0.0;133679.0;Agadir;apartment;0
397;33.0;24073.0;divorced;3.0;93641.0;Agadir;studio;0
398;30.0;35919.0;single;0.0;178029.0;Casablanca;apartment;0
399;65.0;102614.0;divorced;0.0;405921.0;Rabat;apartment;0
400;26.0;45919.0;divorced;3.0;207702.0;Marrakech;duplex;1
401;43.0;36059.0;single;0.0;105291.0;Agadir;apartment;1
402;53.0;23864.0;single;0.0;80776.0;Casablanca;studio;0
403;31.0;24541.0;married;4.0;76432.0;Rabat;studio;1
404;52.0;27992.0;single;0.0;99318.0;Agadir;studio;1
405;56.0;22559.0;divorced;2.0;83450.0;Tangier;studio;0
406;42.0;70905.0;single;0.0;283108.0;Marrakech;apartment;1
407;25.0;81824.0;married;4.0;409039.0;Casablanca;villa;1
408;39.0;89951.0;married;0.0;396695.0;Casablanca;villa;1
409;46.0;66504.0;divorced;1.0;195538.0;Agadir;apartment;1
410;44.0;97537.0;single;0.0;474897.0;Agadir;villa;1
411;53.0;91057.0;single;0.0;248188.0;Casablanca;apartment;0
412;52.0;20089.0;single;0.0;90724.0;Rabat;apartment;1
413;42.0;27806.0;single;0.0;133275.0;Marrakech;duplex;1
414;26.0;68967.0;married;3.0;273457.0;Rabat;villa;0
415;32.0;115990.0;divorced;3.0;478221.0;Casablanca;duplex;0
416;61.0;66769.0;single;0.0;196192.0;Rabat;duplex;0
417;33.0;115529.0;single;0.0;454270.0;Agadir;villa;1
418;61.0;48953.0;married;0.0;237016.0;Casablanca;apartment;0
419;44.0;61879.0;single;1.0;168423.0;Rabat;apartment;0
420;37.0;110855.0;single;0.0;307077.0;Marrakech;villa;0
